No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes
124,PETG Copolyester,Polymer,1.18 - 1.37 g/cc,20.0 - 100 MPa,3.20 - 360 %,1.10 - 20.3 GPa,,,fiber,,
125,Polyester Film,Polymer,1.00 - 1.51 g/cc,23.0 - 200 MPa,130 - 830 %,3.10 - 4.36 GPa,9.00 - 140 kN/m,-73.3 - -40.0 °C,film,,
126,"Thermoset Polyester, Mineral Filled",Polymer,1.59 - 2.08 g/cc ,24.1 - 79.3 MPa,0.410 - 1.11 %,9.90 - 21.3 GPa,,,,,
127,Polyetherimide (PEI),Polymer,0.0500 - 1.90 g/cc,1.00 - 650 MPa,0.500 - 110 %,0.00280 - 56.0 GPa,37.0 - 147 kN/m,-50.0 - 0.000 °C,,,
128,Polyethersulfone (PES),Polymer,1.21 - 1.85 g/cc,56.5 - 325 MPa,0.450 - 100 %,2.00 - 36.6 GPa,,,,,
129,"Polyethersulfone, Carbon Fiber Reinforced",Polymer,1.36 - 1.57 g/cc,103 - 325 MPa,1.00 - 12.0 %,2.40 - 36.6 GPa,,,,,
130,"Low Density Polyethylene (LDPE), Extrusion Grade",Polymer,0.915 - 0.960 g/cc,8.96 - 54.0 MPa,164 - 920 %,0.152 - 0.290 GPa,55.0 - 500 g,,,,
131,"Low Density Polyethylene (LDPE), Film Grade",Polymer,0.902 - 1.00 g/cc,7.00 - 34.5 MPa,50.0 - 1000 %,0.140 - 0.480 GPa,20.0 - 373 kN/m,,film,,
132,Very Low Density Polyethylene (VLDPE),Polymer,0.887 - 0.923 g/cc,9.00 - 15.0 MPa,700 - 750 %,,,,,,
133,"Linear Low Density Polyethylene (LLDPE), Film Grade",Polymer,0.900 - 1.04 g/cc,7.45 - 62.1 MPa,0.800 - 1300 %,0.0110 - 0.530 GPa,,,,,
134,Ethylene Butyl Acrylate,Polymer,0.895 - 1.48 g/cc,0.965 - 31.0 MPa,4.00 - 1210 %,0.0250 - 4.50 GPa,,,,,
135,"Polyphenylene Ether, Mineral Filled",Polymer,1.09 - 1.62 g/cc,50.0 - 74.1 MPa,2.00 - 50.0 %,2.90 - 5.20 GPa,,,,,
136,Polyphenylene Sulfide (PPS) with Carbon Fiber + PTFE Filler,Polymer,1.08 - 1.62 g/cc,53.0 - 180 MPa,0.000 - 2.00 %,4.60 - 34.5 GPa,,,,,
137,"Polyphthalamide (PPA), High Impact",polymer,1.11 - 1.15 g/cc,55.0 - 83.4 MPa,7.00 - 80.0 %,1.90 - 2.76 GPa,,,,,
138,"Polyphthalamide (PPA), Carbon Fiber",Polymer,1.20 - 1.65 g/cc,135 - 1040 MPa,0.500 - 4.00 %,10.0 - 102 GPa,,,,,
139,"Polyphthalamide (PPA), Carbon Fiber + PTFE Filled",Polymer,1.27 - 1.58 g/cc ,100 - 276 MPa,1.00 - 3.00 %,10.0 - 29.3 GPa,,,,,
140,"Polypropylene, Film Grade",Polymer,0.886 - 1.46 g/cc,18.8 - 152 MPa,8.00 - 900 %,0.600 - 7.51 GPa,,,,,
141,Styrene/Butadiene/Styrene (SBS),Polymer,0.100 - 1.60 g/cc,0.981 - 180 MPa,190 - 1500 %,,0.981 - 632 kN/m,,,,
142,Styrenic Elastomer (TES),Polymer,0.400 - 11.0 g/cc,0.138 - 80.0 MPa,3.50 - 1900 %,0.00105 - 54.0 GPa,2.94 - 113 kN/m,-60.0 - -30.0 °C,,,
143,"Thermoset Polyurethane, Adhesive",Polymer,0.770 - 3.20 g/cc,0.0392 - 39.3 MPa,9.00 - 874 %,0.0000345 - 1.93 GPa,6.14 - 132 kN/m,-90.0 - -30.0 °C,,,
144,"Thermoset Polyurethane, Elastomer, Unreinforced",Polymer,0.0400 - 1.74 g/cc,0.138 - 79.3 MPa,0.400 - 1300 %,0.00114 - 3.54 GPa,4.30 - 550 kN/m,-60.0 - -3.40 °C,,,
145,"Thermoplastic Polyurethane, Elastomer, Ether Grade",Polymer,1.00 - 1.65 g/cc,1.72 - 90.0 MPa,30.0 - 1040 %,0.0200 - 2.07 GPa,12.4 - 500 kN/m,-50.0 °C,,,
