Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,elongation_pct,strength_mpa,Score
54,34,Nylon 66,Polymer,1.09 - 1.15 g/cc,78.0 - 83.0 MPa,40.0 - 170 %,,51.0 - 2040 g,,Flim,,,1.12,105.0,80.5,0.3411687289686525
55,101,"Nylon 6, Nucleated",Polymer,1.10 - 1.41 g/cc,40.0 - 100 Mpa,3.00 - 240 %,0.400 - 5.70 GPa,32.0 - 286,,,,,1.255,121.5,70.0,0.3370234567627218
56,64,"Acetal Copolymer, Unreinforced",Polymer,0.950 - 1.71 g/cc,21.0 - 75.8 MPa,1.50 - 250 %,0.586 - 11.7 GPa,40.0 - 55.2 MPa,,,,,1.33,125.75,48.4,0.3319015756972912
57,39,"Acrylonitrile Butadiene Styrene (ABS), Extruded",Polymer,1.01 - 1.20 g/cc,22.1 - 74.0 MPa,3.00 - 150 %,1.00 - 2.65 GPa,,,,,,1.105,76.5,48.05,0.3302324227335283
58,19,CENTROPLAST CENTROLEN PE-UHMW Ultra-high molecular weight polyethylene,,0.940 g/cc,20.0 MPa,>= 50 %,0.800 GPa,,-200 C,,,,0.94,50.0,20.0,0.33012463243436857
59,57,"Acrylonitrile Butadiene Styrene (ABS)/Nylon Blend, Glass Reinforced",Polymer,1.06 - 1.53 g/cc,31.0 - 130 MPa,2.00 - 200 %,1.20 - 8.10 GPa,,,,,,1.295,101.0,80.5,0.32836573695447063
60,118,Polycarbonate/PET Polyester Blend,Polymer,1.12 - 1.47 g/cc,36.0 - 108 MPa,2.10 - 200 %,1.16 - 7.65 GPa,,-40.0 C,fiber,,,1.295,101.05,72.0,0.32774487380598727
61,69,"Acrylic, General Purpose, Molded",Polymer,0.700 - 1.30 g/cc,19.3 - 85.0 MPa,1.00 - 85.0 %,0.950 - 3.79 GPa,,,Acrylic,,,1.0,43.0,52.15,0.32627291354001603
62,116,"Polycarbonate, Carbon Fiber Reinforced",Polymer,1.21 - 1.75 g/cc,56.0 - 450 MPa,65.0 - 115 MPa,2.14 - 48.0 GPa,,-40.0 C,fiber,,,1.48,90.0,253.0,0.3255149715220889
63,138,"Polyphthalamide (PPA), Carbon Fiber",Polymer,1.20 - 1.65 g/cc,135 - 1040 MPa,0.500 - 4.00 %,10.0 - 102 GPa,,,,,,1.4249999999999998,2.25,587.5,0.32500169596279554
64,181,Polypropylene with Carbon Black Filler,Polymer,0.947 - 1.43 g/cc,16.5 - 58.6 MPa,2.0 - 150 %,0.483 - 5.52 Gpa,,,,,,1.1885,76.0,37.55,0.32380488350042863
65,119,Polydicyclopentadiene (PDCPD),Polymer,0.980 - 1.20 g/cc,35.0 - 76.0 MPa,11.0 - 75.0 %,1.40 - 2.57 GPa,49.5 - 76.0 MPa,,,,,1.0899999999999999,43.0,55.5,0.32062446047246934
66,142,Styrenic Elastomer (TES),Polymer,0.400 - 11.0 g/cc,0.138 - 80.0 MPa,3.50 - 1900 %,0.00105 - 54.0 GPa,2.94 - 113 kN/m,-60.0 - -30.0 C,,,,5.7,951.75,40.069,0.319735698061684
67,155,Polyphenylene Ether + Styrene-Butadiene Blend,Polymer,1.06 - 1.10 g/cc,50.0 - 80.0 MPa,20.0 - 50.0 %,2.20 - 2.80 GPa,,,,,,1.08,35.0,65.0,0.3193298020250205
68,137,"Polyphthalamide (PPA), High Impact",polymer,1.11 - 1.15 g/cc,55.0 - 83.4 MPa,7.00 - 80.0 %,1.90 - 2.76 GPa,,,,,,1.13,43.5,69.2,0.3191962952397887
